AlbumID,Title,ArtistID,Genre,ReleaseDate
1,Event stand outside.,17,challenge,2004-10-28
2,Into scientist.,10,field,2007-05-26
3,On allow physical.,2,side,1975-02-24
4,Close let.,3,style,1983-08-04
5,Rise dinner maintain.,5,seek,2006-12-05
6,Also land police.,11,management,2002-01-08
7,Hundred garden meeting.,13,significant,2020-09-05
8,Number news less.,4,suggest,2007-03-20
9,Four ball program.,10,reveal,1981-04-25
10,Growth want.,2,bed,1979-12-27
11,Recently difficult marriage eat.,22,nation,2011-04-17
12,Yard.,24,central,1974-11-02
13,Town street.,15,lead,2010-11-12
14,Summer simple.,4,fact,2005-10-03
15,College mother single.,21,itself,1976-09-10
16,Audience her her.,20,town,1972-06-16
17,Born enough very.,3,economic,1988-04-12
18,Unit to human involve.,21,example,1998-09-25
19,Leg stop report.,20,media,2001-12-31
20,Shoulder pick maintain.,4,professional,1971-07-04
21,Which affect.,8,nothing,2006-04-02
22,Feel group without.,20,discover,2008-08-08
23,Current work after.,25,area,2001-03-07
24,Media could.,24,score,1995-12-03
25,Mr close set.,1,nice,1993-12-28
26,Above.,21,around,1998-12-30
27,Who receive safe.,19,baby,1989-11-26
28,Something visit.,10,wind,2000-07-07
29,Turn piece.,23,little,2004-11-17
30,Listen but.,15,some,1980-05-12
31,Open air method.,20,onto,1999-07-26
32,Whether find.,8,born,1998-09-25
33,Let music third.,13,report,1971-10-24
34,Experience participant glass reality.,5,popular,1994-10-24
35,Walk police.,17,something,1970-12-05
36,Determine though.,9,imagine,1984-02-19
37,Term author next.,2,college,1985-10-16
38,Property interest.,6,far,2006-06-20
39,Not tree.,18,know,2005-12-16
40,Production development effect.,1,perhaps,1990-12-05
41,Wind far health.,9,provide,1981-07-31
42,Power.,12,music,1973-11-01
43,Speech actually.,14,give,1994-09-11
44,Arm special raise.,12,type,1998-07-29
45,Sing hour.,19,window,1991-03-16
46,Everything good find.,8,organization,2011-12-30
47,Value carry.,15,both,1992-02-21
48,Machine since.,17,center,1998-04-13
49,Fine pass against.,8,those,1983-07-22
50,Media.,11,something,1995-07-26
51,Let great body.,4,maintain,2005-08-17
52,Popular protect people different.,14,movement,2001-07-16
53,Laugh someone.,25,stage,1985-11-07
54,Response economy phone.,3,lot,1996-07-05
55,Occur process mouth.,24,light,2014-01-03
56,Glass real.,21,social,1979-12-14
57,Evidence democratic left.,23,part,1992-05-10
58,Experience be.,4,store,1995-10-23
59,Place too.,4,magazine,2017-07-30
60,Place by.,11,can,2011-03-23
61,Writer against manage lay.,15,report,2008-05-27
62,Type hot.,20,save,1984-06-28
63,Speech push subject.,21,consumer,1985-10-20
64,Every positive medical.,12,test,1999-07-22
65,Attention gas.,2,real,1976-05-25
66,Event child.,4,her,2013-08-24
67,Tax million.,2,television,2018-06-09
68,Race treatment.,3,girl,1998-09-01
69,Step election draw.,1,no,1981-03-05
70,Unit law blood.,8,account,2019-09-06
71,Wear professional.,25,growth,1980-02-23
72,Under share.,23,almost,2014-10-04
73,Decade democratic.,3,Congress,2018-10-17
74,During about.,16,fill,1991-12-15
75,One stand painting central.,21,great,2018-08-14
76,Gun challenge fight.,21,environmental,1985-01-02
77,Manage court.,2,join,2001-05-18
78,Yes whatever.,13,bank,1975-09-29
79,Building necessary.,14,power,1975-04-17
80,Pass.,14,size,2013-04-17
81,Recent public.,22,effect,1983-12-13
82,Blue hit easy.,11,traditional,2008-01-08
83,Agree.,13,increase,1982-11-13
84,Become three religious.,18,huge,2021-12-10
85,Within respond.,11,language,1995-08-09
86,South center avoid.,18,gun,2013-10-06
87,Agreement whatever teacher break.,7,commercial,2009-06-09
88,Recent sign tough.,23,another,1993-05-28
89,Happy sport well letter.,18,themselves,2009-09-18
90,Wind similar interesting often.,9,up,2000-06-11
91,Clearly ready sometimes.,19,house,1975-03-23
92,Attorney car.,24,hope,2019-04-15
93,Real suddenly like.,21,table,1999-08-22
94,Buy southern.,16,statement,2019-08-05
95,Return truth stand others.,20,choose,1976-12-23
96,Within take travel smile.,12,spend,1974-09-29
97,Reach make order.,14,bank,2004-05-24
98,Around let.,19,idea,1970-03-02
99,Morning those however.,11,now,2011-07-18
100,Sister through strong.,8,cultural,1977-03-02
101,Everything seven.,19,because,2010-02-21
102,Whose a expect.,14,design,1999-11-06
103,Those ready suffer.,15,too,1983-05-16
104,Money then.,7,military,1989-07-09
105,His green political.,4,director,1975-02-12
106,Traditional education but.,2,candidate,1973-09-09
107,Memory under.,10,get,1999-06-25
108,Skill stop serious.,16,quality,1974-07-01
109,Social he party recognize.,19,involve,1992-05-06
110,Anyone it.,9,will,1983-12-08
111,Choice state.,9,agreement,1996-09-23
112,Still cut seven much.,17,easy,1985-02-28
113,Nothing.,6,left,1992-04-04
114,Cultural.,19,base,2021-01-15
115,Crime beyond.,4,most,2021-11-24
116,Investment couple several.,7,by,2003-09-19
117,Tell wife community.,9,indeed,2004-02-16
118,Everyone central explain to.,20,anyone,1987-04-15
119,Science treatment.,9,film,2020-05-18
120,Off position.,6,industry,1977-09-07
121,Budget.,1,investment,2009-01-01
122,Student exactly speech.,17,image,1985-04-02
123,Of.,8,Congress,1993-03-30
124,Society system voice.,14,matter,1990-01-16
125,Allow small keep.,3,table,1977-02-23
