ArtistID,Name,Genre
1,Samuel Anderson,various
2,Jennifer Byrd,season
3,Anthony Horne,here
4,Michael Wagner,card
5,Roy Fuller,box
6,John Ortiz,good
7,Hector Taylor,ahead
8,Elizabeth Harris,never
9,Brittney Garcia,wind
10,Joseph Dominguez,almost
11,Timothy Chang,poor
12,Darren Alvarado,size
13,Matthew Young,hope
14,Jacob Harmon,allow
15,Ellen Hart,behind
16,Angela Spencer,of
17,John Gardner,represent
18,Amy Carr,full
19,Melissa Rogers,issue
20,Vanessa Wilson,commercial
21,Timothy Griffin,itself
22,Sergio Fitzgerald,our
23,Stacey Garrett,thus
24,John Obrien,effect
25,Brenda Morrison,lawyer
