AlbumID,Title,ArtistID,Genre,ReleaseDate
1,Notice source.,12,second,1999-10-24
2,Analysis head.,16,accept,1984-03-17
3,Series.,19,play,1992-07-11
4,Garden thing common.,1,our,1976-04-26
5,Truth radio.,9,law,2016-09-10
6,Must network.,9,red,1990-10-28
7,Himself them moment.,2,answer,2013-08-14
8,Wait care.,17,list,2000-06-01
9,Believe animal.,2,total,1978-01-27
10,Measure enter if natural.,6,wonder,1989-04-28
11,West guy.,8,I,2006-11-24
12,Scene order remember.,23,bad,2003-07-15
13,Order new very.,23,rate,2020-03-22
14,Glass within political.,11,every,1982-11-18
15,Responsibility reality.,9,without,1991-07-24
16,Big popular.,6,whose,2015-06-13
17,Raise like management.,7,environmental,1970-07-10
18,Sure affect.,16,another,1985-03-11
19,Information participant should.,24,left,1988-11-21
20,Scientist share trade.,18,natural,1994-06-06
21,Ever international support.,10,although,2022-12-16
22,Think upon court fire.,4,teach,2009-07-29
23,Use end front.,21,store,2008-12-30
24,Soldier necessary season.,2,travel,1980-07-26
25,Affect by article.,2,science,1978-03-31
26,Civil.,14,arm,1994-01-10
27,Song different get.,4,couple,1991-04-08
28,Six without.,12,fill,2003-12-13
29,Here everyone pass.,3,pass,2007-02-21
30,Method only father.,13,concern,1981-11-02
31,Day start less.,12,stock,2014-05-25
32,Happy adult deal network.,12,new,2003-12-11
33,Employee us.,16,candidate,2021-03-18
34,Still sometimes agreement.,25,above,2015-12-17
35,Be seat nature.,23,career,1974-10-26
36,Late child care food.,3,face,1977-09-07
37,Garden message suffer.,16,together,2003-04-21
38,Remember total those.,15,drug,1999-12-14
39,Mind true require.,6,avoid,1988-11-27
40,Attention Mrs teacher.,17,area,1979-07-03
41,American deal.,14,she,1985-03-30
42,Current summer.,1,mouth,1975-04-20
43,Within marriage.,4,impact,2002-02-19
44,Evidence great because.,17,art,2019-12-01
45,Movie red.,4,her,2004-07-25
46,Well in.,8,machine,2012-01-22
47,Movie.,11,decade,1988-08-23
48,Treatment appear task.,25,security,2015-11-25
49,Wonder both hard.,14,respond,1987-02-02
50,Join room painting.,14,style,1988-10-28
51,Turn theory party.,8,somebody,1984-06-10
52,Always break.,12,make,1977-06-04
53,Usually whose.,12,radio,2004-02-15
54,Available discuss.,4,couple,1971-04-16
55,Language sort suggest.,23,on,2003-07-21
56,Center course water.,25,affect,2015-03-13
57,Left from carry.,4,record,2002-06-19
58,Everybody often.,15,if,2002-02-25
59,Another value by.,11,say,2020-09-13
60,Child per.,21,others,1993-09-17
61,Stuff fast.,12,almost,2014-09-06
62,Reality world.,2,house,2021-10-08
63,Nature however wind.,1,effect,2021-05-01
64,Discuss yeah wear.,13,model,2001-09-14
65,Region special president.,19,security,2006-05-25
66,Movie there visit.,2,major,1990-10-09
67,Actually church throw.,3,artist,1984-06-21
68,Sort industry keep.,22,from,1982-10-09
69,Safe necessary east.,1,good,1974-02-13
70,Forget action final nearly.,5,citizen,2010-07-20
71,Health.,18,window,2022-09-20
72,Check.,17,stay,1987-04-16
73,Candidate common leg.,20,green,1982-02-17
74,Allow rule.,19,apply,1998-02-18
75,Participant upon.,21,discussion,1984-05-01
76,Program election.,18,data,1976-08-04
77,Leg defense.,10,treat,2019-07-11
78,Shoulder century something.,2,very,1997-11-14
79,Current father.,12,but,1971-10-13
80,Cost popular however.,24,democratic,2017-03-24
81,Else environment debate.,3,play,1990-04-07
82,Ok pass.,14,case,2021-07-25
83,Large case success effect.,15,major,2014-08-08
84,One write.,6,bill,1994-11-17
85,Yes after huge.,18,on,1981-06-19
86,Country very.,9,crime,2000-03-18
87,Mr remember.,19,position,2001-02-20
88,Arrive continue goal.,5,chance,1977-07-30
89,Consider assume view benefit.,21,room,2005-04-30
90,Can major sometimes.,12,effort,2005-04-02
91,Require writer.,19,cold,2020-02-22
92,Watch short form voice.,5,policy,2015-09-19
93,Mrs.,15,spring,2007-01-10
94,Produce because.,8,oil,1979-02-14
95,More carry blue.,8,exactly,2012-12-16
96,Skin investment history fish.,1,wind,2014-01-07
97,Entire low.,19,attorney,2005-01-13
98,Adult such.,5,choose,1985-10-14
99,Party real commercial.,16,check,1992-09-26
100,Spend sure.,2,along,1984-07-03
101,Writer none report.,7,decade,1997-02-06
102,Task sound future.,15,here,2021-07-04
103,Offer anyone program same.,9,investment,1990-10-22
104,Heart believe something.,2,plan,1996-01-27
105,Write.,6,kid,1990-01-12
106,Themselves never north.,16,who,1983-07-01
107,Near Democrat miss.,17,possible,1990-11-27
108,Month upon.,2,box,2007-06-12
109,List take history threat.,6,stock,1975-06-10
110,Create method late.,2,ten,2001-10-14
111,Shake everybody raise.,18,president,2003-07-14
112,Policy above too.,16,serve,2001-07-22
113,Name stop southern.,23,color,2005-08-05
114,Break rest computer.,25,organization,2010-05-25
115,Development.,12,alone,1974-03-26
116,Dinner billion beat but.,3,do,1993-02-13
117,Scientist space news outside.,12,radio,1971-11-26
118,Continue never but rest.,12,if,1971-09-04
119,Green city help since.,18,bit,1986-04-27
120,Minute all only.,11,often,1980-09-14
121,Professor technology decision safe.,24,develop,2003-05-01
122,House stage.,7,little,1999-11-30
123,Animal message rich.,22,evening,2021-01-02
124,Particular trouble grow.,22,learn,2022-11-25
125,Across reveal.,3,what,2003-05-19
