Payment_ID,User_ID,Amount,Date,Method
1,49,362.59,2014-11-17,Maestro
2,48,270.03,1993-07-08,VISA 16 digit
3,14,109.05,2016-05-28,VISA 19 digit
4,3,271.87,1991-06-05,American Express
5,76,308.36,2009-09-10,VISA 16 digit
6,24,237.69,2019-05-14,Diners Club / Carte Blanche
7,12,58.49,2020-03-31,JCB 16 digit
8,20,380.65,2019-05-04,American Express
9,5,355.55,2010-11-06,JCB 16 digit
10,68,364.04,1978-01-13,Discover
11,36,314.73,1988-07-11,Maestro
12,6,55.18,2004-04-06,VISA 19 digit
13,91,199.51,2022-01-17,VISA 16 digit
14,39,484.15,1992-08-06,VISA 13 digit
15,65,315.18,2019-04-20,Maestro
16,88,136.76,1980-03-21,JCB 16 digit
17,49,477.94,1971-11-25,Maestro
18,83,386.18,1981-02-21,Mastercard
19,16,412.27,2012-04-14,VISA 16 digit
20,15,52.73,1988-09-08,VISA 16 digit
21,56,486.82,2000-02-18,JCB 16 digit
22,75,386.11,1991-07-01,JCB 16 digit
23,65,337.83,1989-09-27,Mastercard
24,95,459.75,2009-03-13,VISA 19 digit
25,1,118.22,1979-08-18,VISA 16 digit
26,87,419.93,1994-05-12,VISA 19 digit
27,39,135.62,2011-05-13,Discover
28,33,430.5,2014-12-08,American Express
29,9,295.72,1974-03-31,VISA 16 digit
30,24,415.87,2017-03-09,Maestro
31,87,499.27,2007-07-11,VISA 16 digit
32,41,375.08,2004-08-09,Diners Club / Carte Blanche
33,98,393.18,1970-08-24,Maestro
34,1,229.21,1977-01-13,JCB 16 digit
35,49,412.19,1996-09-10,JCB 16 digit
36,83,268.23,2019-03-20,VISA 13 digit
37,82,63.94,1981-03-25,VISA 13 digit
38,13,258.64,1980-08-08,JCB 15 digit
39,34,13.61,1976-07-30,Diners Club / Carte Blanche
40,99,375.14,1982-06-23,Diners Club / Carte Blanche
41,23,360.05,2017-03-08,VISA 16 digit
42,25,289.11,2004-06-26,American Express
43,52,158.23,1987-06-25,JCB 15 digit
44,37,311.47,2011-01-14,Maestro
45,96,450.61,1997-10-24,American Express
46,56,401.94,2009-09-23,JCB 16 digit
47,98,258.33,1998-08-27,VISA 13 digit
48,29,158.25,2005-05-17,JCB 16 digit
49,93,132.92,2012-05-29,JCB 16 digit
50,55,239.67,2020-12-18,Mastercard
51,83,194.02,1991-01-27,VISA 19 digit
52,57,25.26,1971-02-18,American Express
53,100,226.15,1999-12-02,JCB 16 digit
54,8,372.34,2023-12-11,VISA 13 digit
55,26,194.62,1971-03-20,VISA 13 digit
56,68,320.41,2003-08-24,VISA 13 digit
57,80,136.39,1973-12-19,Discover
58,83,158.04,1994-10-19,VISA 16 digit
59,78,363.18,1984-05-24,JCB 16 digit
60,86,127.2,1977-04-28,JCB 16 digit
61,96,239.78,2019-09-25,VISA 16 digit
62,63,59.41,2017-09-21,VISA 16 digit
63,100,231.73,1993-01-06,Mastercard
64,1,448.73,1981-02-17,JCB 16 digit
65,53,36.8,1981-11-26,Maestro
66,82,177.25,2019-03-17,JCB 16 digit
67,73,288.75,1991-10-11,Diners Club / Carte Blanche
68,42,285.21,1976-08-22,Maestro
69,93,315.45,2008-09-29,JCB 16 digit
70,23,378.47,2013-07-05,JCB 16 digit
71,49,136.62,1980-12-05,American Express
72,8,158.12,1970-11-29,Diners Club / Carte Blanche
73,8,243.95,1987-03-22,JCB 16 digit
74,53,200.91,1994-11-23,Mastercard
75,66,275.8,1996-07-22,American Express
76,55,318.04,2008-03-11,JCB 16 digit
77,7,50.68,1999-09-27,American Express
78,27,46.14,1979-08-01,Maestro
79,38,297.38,1972-09-06,Mastercard
80,22,30.76,1995-12-06,VISA 13 digit
81,57,318.83,1987-08-08,Maestro
82,45,454.0,2016-03-08,JCB 15 digit
83,97,78.34,2022-07-01,Discover
84,28,94.71,2020-06-14,Maestro
85,78,66.68,2020-05-22,JCB 16 digit
86,68,267.38,1980-01-17,JCB 15 digit
87,40,169.25,1978-03-02,Diners Club / Carte Blanche
88,44,377.78,1993-10-01,Diners Club / Carte Blanche
89,7,185.66,2002-06-03,American Express
90,32,311.73,1979-07-14,VISA 19 digit
91,27,152.84,2003-04-12,Discover
92,37,358.73,2013-09-30,JCB 16 digit
93,29,450.34,1973-08-14,VISA 16 digit
94,16,365.08,1991-07-25,Discover
95,76,195.84,1990-07-28,JCB 15 digit
96,46,241.86,1996-05-13,JCB 16 digit
97,14,420.75,1981-01-16,JCB 15 digit
98,66,215.71,1984-06-02,JCB 16 digit
99,92,102.45,2019-03-22,JCB 15 digit
100,82,495.79,1997-01-04,Maestro
101,94,358.22,1990-09-10,VISA 16 digit
102,87,235.81,2014-10-08,Mastercard
103,71,187.09,2004-08-20,JCB 16 digit
104,30,306.96,1986-05-03,VISA 16 digit
105,65,11.19,1972-02-15,American Express
106,79,490.33,2022-01-27,Mastercard
107,87,474.65,2014-08-29,VISA 16 digit
108,69,183.43,1982-06-10,VISA 16 digit
109,72,109.93,2015-09-27,JCB 16 digit
110,41,320.96,1980-09-27,JCB 16 digit
111,15,402.36,1998-07-04,Diners Club / Carte Blanche
112,12,147.7,1998-10-19,JCB 16 digit
113,3,100.62,1980-08-16,JCB 16 digit
114,57,295.0,1977-03-31,VISA 19 digit
115,88,357.28,1986-07-28,JCB 15 digit
116,72,273.91,2018-02-15,JCB 16 digit
117,17,23.7,1977-11-21,VISA 19 digit
118,34,156.25,1971-07-18,VISA 16 digit
119,59,7.28,2019-05-09,VISA 13 digit
120,34,455.13,1992-03-08,JCB 16 digit
121,100,248.75,2018-03-09,JCB 16 digit
122,79,174.6,1979-07-28,VISA 19 digit
123,40,333.12,2003-03-02,JCB 16 digit
124,6,368.1,1973-07-16,Maestro
125,31,272.34,1992-08-11,Discover
126,98,110.44,1991-01-21,VISA 16 digit
127,46,28.46,1978-09-25,Maestro
128,4,389.07,1972-02-18,JCB 16 digit
129,42,251.08,2010-12-05,Mastercard
130,13,355.64,1996-04-05,American Express
131,6,308.15,1999-07-26,Mastercard
132,92,429.41,1977-11-07,JCB 16 digit
133,29,408.82,1992-03-15,VISA 19 digit
134,19,242.85,2004-12-09,JCB 16 digit
135,64,477.7,2002-10-25,JCB 16 digit
136,35,80.74,1987-08-06,JCB 16 digit
137,8,243.55,2013-02-23,VISA 16 digit
138,32,122.21,1981-10-12,Mastercard
139,16,91.76,2001-05-03,VISA 19 digit
140,50,332.17,1980-07-27,VISA 16 digit
141,36,326.57,2019-12-09,JCB 15 digit
142,32,496.12,1982-12-28,JCB 16 digit
143,8,211.79,1980-07-09,JCB 16 digit
144,3,492.0,1976-11-10,Mastercard
145,17,39.38,1978-05-28,VISA 19 digit
146,6,34.67,1999-06-23,JCB 16 digit
147,94,137.37,2010-03-14,Diners Club / Carte Blanche
148,70,34.18,1984-02-09,Diners Club / Carte Blanche
149,31,183.6,1993-08-09,JCB 16 digit
150,94,106.47,2015-04-21,Mastercard
151,65,95.6,2015-05-19,VISA 16 digit
152,53,5.54,1995-06-06,Mastercard
153,70,188.4,1977-04-08,JCB 16 digit
154,69,36.42,1974-12-14,JCB 15 digit
155,43,119.48,1979-10-14,JCB 15 digit
156,58,51.08,2005-07-30,JCB 15 digit
157,95,427.18,2015-08-22,VISA 16 digit
158,19,63.89,2010-11-28,Maestro
159,99,164.81,2023-10-27,JCB 16 digit
160,26,215.24,2000-01-25,Mastercard
161,7,176.38,1994-07-07,Diners Club / Carte Blanche
162,1,298.02,2020-11-02,VISA 19 digit
163,49,138.91,1978-05-11,JCB 16 digit
164,9,429.86,1994-04-01,VISA 16 digit
165,30,470.93,1983-05-15,JCB 16 digit
166,15,103.22,1983-09-27,Maestro
167,23,465.59,2017-11-02,VISA 19 digit
168,27,164.89,1976-11-09,VISA 16 digit
169,11,392.13,2000-12-13,VISA 13 digit
170,39,76.57,2017-10-19,JCB 15 digit
171,60,207.88,1986-07-04,Maestro
172,17,431.04,1989-06-02,Discover
173,40,245.05,1998-06-28,VISA 16 digit
174,54,469.96,2012-11-11,Diners Club / Carte Blanche
175,18,180.19,2013-12-29,Discover
176,11,434.02,1980-07-29,VISA 19 digit
177,6,219.07,2015-09-05,VISA 16 digit
178,29,469.89,2024-05-21,Diners Club / Carte Blanche
179,4,134.13,2009-05-08,JCB 16 digit
180,90,47.05,1984-05-26,JCB 16 digit
181,90,459.7,1989-01-20,JCB 16 digit
182,52,243.04,2008-02-12,American Express
183,14,22.69,2011-10-28,JCB 16 digit
184,80,26.73,2010-11-03,VISA 16 digit
185,25,346.18,1971-05-13,Mastercard
186,64,488.9,1984-11-24,American Express
187,57,83.01,2007-05-22,Diners Club / Carte Blanche
188,77,9.85,2023-01-13,JCB 15 digit
189,66,69.07,1982-12-11,American Express
190,89,182.85,2001-01-15,VISA 19 digit
191,47,152.74,2006-09-17,Maestro
192,81,37.49,1996-05-15,JCB 15 digit
193,65,308.3,1989-03-14,VISA 19 digit
194,87,472.27,1998-12-28,JCB 15 digit
195,44,232.51,1977-10-26,Diners Club / Carte Blanche
196,27,206.63,1977-05-01,VISA 13 digit
197,38,437.55,1989-11-12,Maestro
198,54,456.75,2000-04-14,VISA 19 digit
199,90,247.28,1976-02-17,JCB 16 digit
200,9,489.54,1979-09-21,JCB 15 digit
201,66,388.34,1983-02-13,VISA 19 digit
202,70,165.52,2001-06-06,Maestro
203,18,410.92,2003-11-17,Maestro
204,31,147.87,1972-03-29,VISA 16 digit
205,46,314.95,2013-02-16,Mastercard
206,13,314.35,1992-02-20,Mastercard
207,7,459.26,1973-04-17,Discover
208,90,28.78,2017-09-30,Mastercard
209,23,91.98,1970-05-07,VISA 19 digit
210,54,22.13,2020-09-20,Maestro
211,60,489.11,2018-03-29,JCB 15 digit
212,81,382.93,1978-06-10,Diners Club / Carte Blanche
213,23,402.18,1970-12-03,Maestro
