TrackID,Title,ArtistID,AlbumID,PlayCount,Duration,ReleaseDate
1,State market.,21,19,831846443,1900-01-01 06:41:27,1992-07-09
2,Say.,12,93,158323553,1900-01-01 06:53:51,1978-11-25
3,Form.,3,46,67940841,1900-01-01 04:04:40,2011-02-20
4,Decide level.,14,113,683066447,1900-01-01 08:36:04,2005-04-22
5,Happen seat.,15,6,248643953,1900-01-01 11:16:08,2021-04-13
6,Hear.,1,73,713219167,1900-01-01 08:07:06,1998-07-06
7,Explain performance.,16,30,924935295,1900-01-01 15:38:48,1981-01-31
8,Win someone.,1,69,88547996,1900-01-01 15:13:15,1993-05-10
9,Sport sound.,19,61,850541730,1900-01-01 22:34:26,2007-12-08
10,Treatment section.,10,98,420103961,1900-01-01 12:10:25,1979-10-11
11,Such could.,9,38,30943878,1900-01-01 08:08:31,1995-03-18
12,True majority.,16,26,655879615,1900-01-01 14:42:53,2008-08-16
13,Activity.,1,25,413361850,1900-01-01 19:35:44,2002-02-03
14,Least.,9,1,693213736,1900-01-01 17:40:39,2007-08-25
15,Close.,5,90,572976907,1900-01-01 06:21:09,2011-10-10
16,During forward.,5,87,442115423,1900-01-01 12:17:06,2018-08-26
17,Gun.,3,75,619926723,1900-01-01 16:18:30,1972-02-18
18,Last interest.,25,118,211028529,1900-01-01 08:53:05,1995-02-12
19,First deep.,3,80,956328866,1900-01-01 07:13:39,1990-06-19
20,As.,6,121,718614434,1900-01-01 04:56:55,1999-09-13
21,Anything when.,1,6,935281731,1900-01-01 19:49:02,2023-02-06
22,Language Mr.,21,60,904535816,1900-01-01 05:48:00,2021-05-13
23,Where.,18,97,773926078,1900-01-01 04:27:37,1994-07-21
24,Special care.,4,58,223307351,1900-01-01 17:14:14,2019-10-22
25,Friend.,13,60,586513303,1900-01-01 00:12:40,2003-10-03
26,Enjoy.,9,5,814922099,1900-01-01 20:57:57,1988-09-21
27,I.,24,44,290359971,1900-01-01 14:59:51,1990-06-04
28,Particularly board.,19,108,787502836,1900-01-01 07:30:37,1982-07-30
29,Travel professional.,6,54,883922897,1900-01-01 15:37:59,1998-02-14
30,Building.,3,116,352329126,1900-01-01 20:05:54,2019-11-16
31,After.,14,102,275298720,1900-01-01 01:56:03,2016-04-12
32,Everybody.,1,107,184158167,1900-01-01 10:57:45,2020-03-16
33,Result evidence.,8,8,647642361,1900-01-01 19:55:03,2005-09-27
34,Instead.,14,25,191435446,1900-01-01 00:10:18,1976-11-02
35,Effort.,17,53,891972421,1900-01-01 20:44:36,1989-01-18
36,Claim.,4,3,613383520,1900-01-01 02:48:45,1971-10-06
37,Pm.,23,98,666759597,1900-01-01 06:35:36,2004-01-01
38,Miss.,18,119,449636470,1900-01-01 22:25:58,2009-04-17
39,Test maybe.,22,91,806834949,1900-01-01 18:59:48,1987-06-12
40,Scientist.,13,119,477803497,1900-01-01 00:36:16,1972-09-21
41,Middle.,3,65,191647993,1900-01-01 19:58:31,2017-11-17
42,Firm add.,4,88,361625331,1900-01-01 05:45:51,1998-09-11
43,Crime.,10,49,577513384,1900-01-01 16:40:58,2019-05-19
44,Most.,2,19,178486442,1900-01-01 04:25:36,2009-03-15
45,Affect.,21,28,54714940,1900-01-01 08:04:51,1993-09-18
46,Hundred despite.,24,66,971975573,1900-01-01 05:15:07,2013-09-27
47,This bag.,21,16,723866721,1900-01-01 19:19:50,1977-08-28
48,Light.,3,98,763749222,1900-01-01 23:02:53,2010-05-25
49,Lot nation.,15,95,552875894,1900-01-01 11:39:53,1981-09-10
50,Rest.,3,94,846542920,1900-01-01 21:57:53,2015-12-26
51,Wait.,22,66,953422189,1900-01-01 14:23:12,2012-04-16
52,Window lot.,7,105,195686699,1900-01-01 02:07:51,2001-07-24
53,Doctor.,18,14,611863692,1900-01-01 10:57:08,2008-10-11
54,Ok author.,6,63,594780340,1900-01-01 19:26:40,2004-09-11
55,News.,24,98,47932449,1900-01-01 08:42:11,1982-09-15
